z,Dv_over_rs,DM_over_rs,H_times_rs,type,survey,release_tag,row_index
0.295,7.94167639,,,anisotropic,desi,main,0
0.51,,13.58758434,21.86294686,anisotropic,desi,main,1
0.706,,17.35069094,19.45534918,anisotropic,desi,main,2
0.934,,21.57563956,17.64149464,anisotropic,desi,main,3
1.321,,27.60085612,14.17602155,anisotropic,desi,main,4
1.484,,30.51190063,12.81699964,anisotropic,desi,main,5
2.33,,38.988973961958784,8.631545674846294,anisotropic,desi,main,6
0.295,7.94167639,,,anisotropic,desi,main,0
1.321,,27.60085612,14.17602155,anisotropic,desi,main,0
0.934,,21.57563956,17.64149464,anisotropic,desi,main,0
0.51,,13.58758434,21.86294686,anisotropic,desi,main,0
0.706,,17.35069094,19.45534918,anisotropic,desi,main,0
2.33,,38.988973961958784,8.631545674846294,anisotropic,desi,main,0
1.484,,30.51190063,12.81699964,anisotropic,desi,main,0
