z,fs8,sigma_fs8,dataset,reference,omega_m_fid,source,release_tag,row_index
0.02,0.428,0.0465,6dFGS+SnIa,28,0.3,nesseris_2017,nesseris2017,0
0.02,0.398,0.065,SnIa+IRAS,29-30,0.3,nesseris_2017,nesseris2017,1
0.02,0.314,0.048,2MASS,31-30,0.266,nesseris_2017,nesseris2017,2
0.1,0.37,0.13,SDSS-veloc,32,0.3,nesseris_2017,nesseris2017,3
0.15,0.49,0.145,SDSS-MGS,33,0.3,nesseris_2017,nesseris2017,4
0.17,0.51,0.06,2dFGRS,34,0.3,nesseris_2017,nesseris2017,5
0.18,0.36,0.09,GAMA,35,0.27,nesseris_2017,nesseris2017,6
0.38,0.44,0.06,GAMA,35,0.27,nesseris_2017,nesseris2017,7
0.25,0.3512,0.0583,SDSS-LRG-200,36,0.25,nesseris_2017,nesseris2017,8
0.37,0.4602,0.0378,SDSS-LRG-200,36,0.25,nesseris_2017,nesseris2017,9
0.32,0.384,0.095,BOSS-LOWZ,37,0.274,nesseris_2017,nesseris2017,10
0.59,0.488,0.06,SDSS-CMASS,38,0.307115,nesseris_2017,nesseris2017,11
0.44,0.413,0.08,WiggleZ,39,0.27,nesseris_2017,nesseris2017,12
0.6,0.39,0.063,WiggleZ,39,0.27,nesseris_2017,nesseris2017,13
0.73,0.437,0.072,WiggleZ,39,0.27,nesseris_2017,nesseris2017,14
0.6,0.55,0.12,Vipers-PDR2,40,0.3,nesseris_2017,nesseris2017,15
0.86,0.4,0.11,Vipers-PDR2,40,0.3,nesseris_2017,nesseris2017,16
1.4,0.482,0.116,FastSound,41,0.27,nesseris_2017,nesseris2017,17
