sn_id,z_helio,z_cmb,mu,sigma_mu,sample_flags,host_mstellar,ra_deg,dec_deg,source,release_tag,row_index
2011fe,0.00082,0.00122,28.9987,1.51645,USED_IN_SH0ES_HF=0;IS_CALIBRATOR=1;IDSURVEY=51,10.677,210.774,54.2737,pantheon+,PantheonPlusDR1,0
2011fe,0.00082,0.00122,29.0559,1.51747,USED_IN_SH0ES_HF=0;IS_CALIBRATOR=1;IDSURVEY=56,10.677,210.774,54.2737,pantheon+,PantheonPlusDR1,1
2012cg,0.00144,0.00256,30.7233,0.782372,USED_IN_SH0ES_HF=0;IS_CALIBRATOR=1;IDSURVEY=51,9.633,186.803,9.4203,pantheon+,PantheonPlusDR1,2
2012cg,0.00144,0.00256,30.7449,0.799068,USED_IN_SH0ES_HF=0;IS_CALIBRATOR=1;IDSURVEY=56,9.633,186.803,9.4203,pantheon+,PantheonPlusDR1,3
1994DRichmond,0.00187,0.00299,30.7757,0.881212,USED_IN_SH0ES_HF=0;IS_CALIBRATOR=0;IDSURVEY=50,8.46247,188.51,7.7016,pantheon+,PantheonPlusDR1,4
1981B,0.00236,0.00317,30.7946,0.614535,USED_IN_SH0ES_HF=0;IS_CALIBRATOR=1;IDSURVEY=50,9.686,188.623,2.1998,pantheon+,PantheonPlusDR1,5
2013aa,0.00411,0.00331,30.4604,0.594683,USED_IN_SH0ES_HF=0;IS_CALIBRATOR=1;IDSURVEY=56,10.53,218.141,-44.2244,pantheon+,PantheonPlusDR1,6
2013aa,0.00411,0.00331,30.5528,0.580251,USED_IN_SH0ES_HF=0;IS_CALIBRATOR=1;IDSURVEY=5,10.53,218.141,-44.2244,pantheon+,PantheonPlusDR1,7
2017cbv,0.00411,0.00331,30.4013,0.578445,USED_IN_SH0ES_HF=0;IS_CALIBRATOR=1;IDSURVEY=5,10.449,218.143,-44.1341,pantheon+,PantheonPlusDR1,8
2017cbv,0.00411,0.00331,30.5107,0.578546,USED_IN_SH0ES_HF=0;IS_CALIBRATOR=1;IDSURVEY=18,10.449,218.143,-44.1341,pantheon+,PantheonPlusDR1,9
2001el,0.00379,0.00333,31.5011,0.591006,USED_IN_SH0ES_HF=0;IS_CALIBRATOR=1;IDSURVEY=50,11.28,56.1275,-44.6398,pantheon+,PantheonPlusDR1,10
2011by,0.00313,0.00349,31.7933,0.55272,USED_IN_SH0ES_HF=0;IS_CALIBRATOR=1;IDSURVEY=51,10.417,178.94,55.3256,pantheon+,PantheonPlusDR1,11
1998aq,0.00313,0.00349,31.4967,0.545492,USED_IN_SH0ES_HF=0;IS_CALIBRATOR=1;IDSURVEY=50,10.199,179.108,55.1287,pantheon+,PantheonPlusDR1,12
1990N,0.00355,0.00359,31.6969,0.550993,USED_IN_SH0ES_HF=0;IS_CALIBRATOR=1;IDSURVEY=50,9.802,190.736,13.2565,pantheon+,PantheonPlusDR1,13
2021pit,0.00388,0.00384,30.9999,0.566505,USED_IN_SH0ES_HF=0;IS_CALIBRATOR=1;IDSURVEY=56,-9.0,56.1257,-44.6325,pantheon+,PantheonPlusDR1,14
2005df,0.00435,0.00407,31.3933,0.476404,USED_IN_SH0ES_HF=0;IS_CALIBRATOR=1;IDSURVEY=50,10.375,64.4077,-62.7693,pantheon+,PantheonPlusDR1,15
2005df_ANU,0.00435,0.00407,31.3779,0.479276,USED_IN_SH0ES_HF=0;IS_CALIBRATOR=1;IDSURVEY=50,9.552,64.4077,-62.7693,pantheon+,PantheonPlusDR1,16
2013dy,0.00394,0.00432,31.499,0.514259,USED_IN_SH0ES_HF=0;IS_CALIBRATOR=1;IDSURVEY=51,9.131,334.573,40.5693,pantheon+,PantheonPlusDR1,17
2013dy,0.00394,0.00432,31.5611,0.530838,USED_IN_SH0ES_HF=0;IS_CALIBRATOR=1;IDSURVEY=56,9.131,334.573,40.5693,pantheon+,PantheonPlusDR1,18
2012ht,0.00352,0.00465,31.9309,0.442017,USED_IN_SH0ES_HF=0;IS_CALIBRATOR=1;IDSURVEY=56,9.53,163.345,16.7764,pantheon+,PantheonPlusDR1,19
2012ht,0.00352,0.00465,32.033,0.420403,USED_IN_SH0ES_HF=0;IS_CALIBRATOR=1;IDSURVEY=5,9.53,163.345,16.7764,pantheon+,PantheonPlusDR1,20
1980N,0.00495,0.00482,31.2476,0.558603,USED_IN_SH0ES_HF=0;IS_CALIBRATOR=0;IDSURVEY=50,11.314,50.7513,-37.2139,pantheon+,PantheonPlusDR1,21
2012fr,0.00492,0.00483,31.1331,0.446882,USED_IN_SH0ES_HF=0;IS_CALIBRATOR=1;IDSURVEY=56,10.732,53.4,-36.1271,pantheon+,PantheonPlusDR1,22
2007on,0.00491,0.00483,31.6525,0.564724,USED_IN_SH0ES_HF=0;IS_CALIBRATOR=0;IDSURVEY=5,11.2901,54.7125,-35.5753,pantheon+,PantheonPlusDR1,23
