seed,fold,chi2_pbuf,chi2_lcdm,delta_chi2
42,0,946.0075751452054,1211.6528381685944,265.645263023389
42,1,946.0075688590763,1211.6528381685944,265.6452693095181
42,2,946.0075757674005,1211.6528381685944,265.6452624011939
42,3,946.0076644462832,1211.6528381685944,265.64517372231114
42,4,946.0077604953253,1211.6528381685944,265.64507767326904
42,5,946.0076479791155,1211.6528381685944,265.64519018947885
42,6,946.0084336827427,1211.6528381685944,265.6444044858516
42,7,946.0076865496269,1211.6528381685944,265.6451516189675
42,8,946.0106703264519,1211.6528381685944,265.6421678421425
42,9,946.0075820324597,1211.6528381685944,265.64525613613466
42,10,946.0105814169167,1211.6528381685944,265.6422567516777
42,11,946.0096319798427,1211.6528381685944,265.6432061887517
42,12,946.0078315649698,1211.6528381685944,265.64500660362455
42,13,946.0076418879812,1211.6528381685944,265.64519628061316
42,14,946.0080247435313,1211.6528381685944,265.64481342506303
42,15,946.0075739662225,1211.6528381685944,265.6452642023719
42,16,946.0085334948608,1211.6528381685944,265.6443046737336
42,17,946.0075947755413,1211.6528381685944,265.6452433930531
42,18,946.0081497202069,1211.6528381685944,265.64468844838746
42,19,946.0090324497302,1211.6528381685944,265.6438057188642
42,20,946.008023334482,1211.6528381685944,265.64481483411237
42,21,946.0075773963507,1211.6528381685944,265.64526077224366
42,22,946.0075748522775,1211.6528381685944,265.6452633163169
42,23,946.0078215649652,1211.6528381685944,265.6450166036292
42,24,946.0075711780349,1211.6528381685944,265.64526699055943
42,25,946.0076054054407,1211.6528381685944,265.6452327631537
42,26,946.007578645664,1211.6528381685944,265.64525952293036
42,27,946.0081927052402,1211.6528381685944,265.6446454633542
42,28,946.0076660689675,1211.6528381685944,265.64517209962685
42,29,946.007687529563,1211.6528381685944,265.6451506390314
142,0,946.0076784019318,1211.6528381685944,265.6451597666626
142,1,946.0077865688527,1211.6528381685944,265.6450515997417
142,2,946.0075754659689,1211.6528381685944,265.6452627026255
142,3,946.0089605559889,1211.6528381685944,265.6438776126055
142,4,946.0100575474268,1211.6528381685944,265.6427806211676
142,5,946.0077550194562,1211.6528381685944,265.64508314913815
142,6,946.0080185359923,1211.6528381685944,265.6448196326021
142,7,946.0079208684537,1211.6528381685944,265.6449173001407
142,8,946.0080095181912,1211.6528381685944,265.64482865040316
142,9,946.0088216443496,1211.6528381685944,265.64401652424476
142,10,946.0079515638455,1211.6528381685944,265.6448866047489
142,11,946.0075718444731,1211.6528381685944,265.6452663241213
142,12,946.0115199009031,1211.6528381685944,265.6413182676913
142,13,946.007601560021,1211.6528381685944,265.6452366085733
142,14,946.008765285962,1211.6528381685944,265.6440728826324
142,15,946.0076475504193,1211.6528381685944,265.6451906181751
142,16,946.0076686200609,1211.6528381685944,265.64516954853343
142,17,946.0077245714821,1211.6528381685944,265.6451135971123
142,18,946.0077154926041,1211.6528381685944,265.64512267599025
142,19,946.007573986392,1211.6528381685944,265.64526418220237
142,20,946.0080120535272,1211.6528381685944,265.6448261150672
142,21,946.0076331019184,1211.6528381685944,265.645205066676
142,22,946.0076692109739,1211.6528381685944,265.6451689576205
142,23,946.0075746996877,1211.6528381685944,265.6452634689067
142,24,946.0075775045651,1211.6528381685944,265.64526066402925
142,25,946.0077073268045,1211.6528381685944,265.64513084178986
142,26,946.00757424606,1207.5590384540521,261.5514642079921
142,27,946.0081518813726,1211.6528381685944,265.6446862872218
142,28,946.0102263751102,1211.6528381685944,265.6426117934842
142,29,946.0087038985946,1211.6528381685944,265.64413426999977
242,0,946.0076251402082,1211.6528381685944,265.64521302838614
242,1,946.0075674907617,1211.6528381685944,265.6452706778326
242,2,946.0075733471816,1211.6528381685944,265.64526482141275
242,3,946.0083594761558,1211.6528381685944,265.6444786924386
242,4,946.0082540479023,1211.6528381685944,265.6445841206921
242,5,946.0075717789798,1211.6528381685944,265.64526638961456
242,6,946.0077657335104,1211.6528381685944,265.645072435084
242,7,946.0077348207657,1211.6528381685944,265.6451033478287
242,8,946.0076242775979,1211.6528381685944,265.6452138909965
242,9,946.0079595922364,1211.6528381685944,265.644878576358
242,10,946.0076975785565,1211.6528381685944,265.64514059003784
242,11,946.0076566756362,1211.6528381685944,265.64518149295816
242,12,946.0077135562133,1211.6528381685944,265.6451246123811
242,13,946.0077343142949,1211.6528381685944,265.64510385429946
242,14,946.0076650592882,1211.6528381685944,265.64517310930614
242,15,946.007635736911,1211.6528381685944,265.6452024316834
242,16,946.0076406686894,1211.6528381685944,265.64519749990495
242,17,946.0090836793748,1211.6528381685944,265.64375448921953
242,18,946.0079040566421,1211.6528381685944,265.64493411195224
242,19,946.0079317674357,1211.6528381685944,265.64490640115866
242,20,946.0098874056281,1211.6528381685944,265.6429507629663
242,21,946.0076083538071,1211.6528381685944,265.6452298147873
242,22,946.0078290148514,1211.6528381685944,265.645009153743
242,23,946.0077657521475,1211.6528381685944,265.64507241644685
242,24,946.0078450918533,1211.6528381685944,265.6449930767411
242,25,946.0076518731313,1211.6528381685944,265.6451862954631
242,26,946.0076855249224,1211.6528381685944,265.64515264367196
242,27,946.0083690332979,1211.6528381685944,265.6444691352965
242,28,946.0075703440067,1211.6528381685944,265.6452678245877
242,29,946.0077163256386,1211.6528381685944,265.64512184295575
342,0,946.0075720008036,1211.6528381685944,265.64526616779074
342,1,946.0079111661686,1211.6528381685944,265.6449270024258
342,2,946.008819075094,1211.6528381685944,265.64401909350033
